,,,,,Fuel Type by County as of 1/1/2018 ,,,,,,,,,,
,,,,,,,,,,Compressed ,,,,,
County ,Battery Electric ,Diesel ,Diesel Hybrid ,Ethanol ,Fuel Cell ,Gasoline ,Hybrid Gas ,Plug-in Hybrid ,Butane ,,Methanol ,Methane ,Natural Gas ,Propane ,Grand Total 
,,,,,,,,,,Natural Gas ,,,,,
Alameda ,"14,904 ","38,103 ",36,"53,198 ",170,"1,048,019 ","62,088 ","10,342 ",1,91,195,0,"1,173 ",56,"1,228,376 "
Alpine ,2,177,0,92,0,"1,570 ",30,1,0,0,0,0,0,0,"1,872 "
Amador ,51,"4,319 ",0,"2,534 ",0,"36,766 ",753,58,0,0,7,0,12,13,"44,513 "
Butte ,238,"13,287 ",0,"11,289 ",0,"153,132 ","4,107 ",245,0,15,48,0,49,13,"182,423 "
Calaveras ,75,"6,109 ",0,"3,242 ",0,"47,294 ",990,81,0,0,14,0,8,3,"57,816 "
Colusa ,13,"2,527 ",0,"2,072 ",0,"16,322 ",205,10,0,0,9,0,2,6,"21,166 "
Contra Costa ,"6,856 ","28,399 ",9,"49,284 ",90,"796,331 ","40,023 ","6,437 ",0,69,109,1,539,59,"928,206 "
Del Norte ,19,"1,913 ",0,"1,485 ",0,"17,190 ",291,32,0,0,11,0,5,0,"20,946 "
El Dorado ,622,"13,756 ",0,"9,975 ",8,"152,103 ","4,615 ",770,0,3,25,0,29,16,"181,922 "
Fresno ,"2,494 ","37,024 ",63,"52,224 ",0,"590,104 ","11,914 ","1,046 ",2,87,122,5,487,69,"695,641 "
Glenn ,16,"3,297 ",0,"2,203 ",0,"21,682 ",267,18,0,0,5,0,2,5,"27,495 "
Humboldt ,342,"12,903 ",0,"6,438 ",0,"98,164 ","3,101 ",693,0,0,27,0,24,10,"121,702 "
Imperial ,116,"8,702 ",1,"12,589 ",0,"143,862 ","1,385 ",79,0,4,43,0,104,15,"166,900 "
Inyo ,35,"2,098 ",0,"1,312 ",0,"17,691 ",314,21,0,0,8,0,8,0,"21,487 "
Kern ,951,"43,309 ",10,"52,848 ",1,"519,754 ","8,784 ",873,1,39,81,1,368,55,"627,075 "
Kings ,153,"5,764 ",0,"9,557 ",1,"80,328 ","1,316 ",105,0,11,19,0,75,5,"97,334 "
Lake ,97,"5,300 ",0,"4,026 ",0,"58,916 ","1,217 ",137,1,0,21,0,13,5,"69,733 "
