,County,EV
0,Alameda ,25246.0
1,Alpine ,3.0
2,Amador ,109.0
3,Butte ,483.0
4,Calaveras ,156.0
5,Colusa ,23.0
6,Contra Costa ,13293.0
7,Del Norte ,51.0
8,El Dorado ,1392.0
9,Fresno ,3540.0
10,Glenn ,34.0
11,Humboldt ,1035.0
12,Imperial ,195.0
13,Inyo ,56.0
14,Kern ,1824.0
15,Kings ,258.0
16,Lake ,234.0
17,Lassen ,17.0
18,Los Angeles ,88807.0
19,Madera ,352.0
20,Marin ,5318.0
21,Mariposa ,35.0
22,Mendocino ,651.0
23,Merced ,428.0
24,Modoc ,6.0
25,Mono ,26.0
26,Monterey ,1676.0
27,Napa ,1321.0
28,Nevada ,527.0
29,Orange ,41088.0
30,Placer ,3411.0
31,Plumas ,26.0
32,Riverside ,10999.0
33,Sacramento ,7588.0
34,San Benito ,363.0
35,San Bernardino ,8033.0
36,San Diego ,26176.0
37,San Francisco ,8484.0
38,San Joaquin ,2586.0
39,San Luis Obispo ,1921.0
40,San Mateo ,12843.0
41,Santa Barbara ,2737.0
42,Santa Clara ,44939.0
43,Santa Cruz ,3216.0
44,Shasta ,356.0
45,Sierra ,3.0
46,Siskiyou ,67.0
47,Solano ,2562.0
48,Sonoma ,6410.0
49,Stanislaus ,1405.0
50,Sutter ,141.0
51,Tehama ,74.0
52,Trinity ,24.0
53,Tulare ,823.0
54,Tuolumne ,131.0
55,Ventura ,6783.0
56,Yolo ,1536.0
57,Yuba ,118.0
