County,Real Per Capita Income (dollars)
Alameda,67837
Alpine,76215
Amador,45804
Butte,43381
Calaveras,49341
Colusa,45352
Contra Costa,72637
Del Norte,35752
El Dorado,62850
Fresno,40686
Glenn,40959
Humboldt,45306
Imperial,33953
Inyo,54584
Kern,38833
Kings,35645
Lake,41059
Lassen,37964
Los Angeles,56964
Madera,38358
Marin,119611
Mariposa,46702
Mendocino,46595
Merced,36269
Modoc,41650
Mono,51741
Monterey,52481
Napa,67461
Nevada,59660
Orange,65031
Placer,60161
Plumas,49205
Riverside,38494
Sacramento,51333
San Benito,47708
San Bernardino,37628
San Diego,57473
San Francisco,118457
San Joaquin,40405
San Luis Obispo,54560
San Mateo,111159
Santa Barbara,58660
Santa Clara,92273
Santa Cruz,60029
Shasta,45038
Sierra,39239
Siskiyou,41718
Solano,47408
Sonoma,56868
Stanislaus,42155
Sutter,42961
Tehama,38658
Trinity,35121
Tulare,38275
Tuolumne,45532
Ventura,57572
Yolo,51267
Yuba,39451
