"Fact","Fact Note","Calaveras County, California","Value Note for Calaveras County, California","Butte County, California","Value Note for Butte County, California","Amador County, California","Value Note for Amador County, California","Alpine County, California","Value Note for Alpine County, California","Alameda County, California","Value Note for Alameda County, California"
"Population estimates, July 1, 2017,  (V2017)","","45,670","","229,294","","38,626","","1,120","","1,663,190",""
"Population estimates base, April 1, 2010,  (V2017)","","45,578","","220,002","","38,091","","1,175","","1,510,261",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","0.2%","","4.2%","","1.4%","","-4.7%","","10.1%",""
"Population, Census, April 1, 2010","","45,578","","220,000","","38,091","","1,175","","1,510,271",""
"Persons under 5 years, percent","","4.3%","","5.5%","","4.1%","","3.0%","","5.9%",""
"Persons under 18 years, percent","","17.0%","","20.0%","","15.2%","","17.2%","","20.7%",""
"Persons 65 years and over, percent","","26.9%","","18.2%","","26.6%","","23.2%","","13.5%",""
"Female persons, percent","","50.2%","","50.5%","","46.0%","","45.5%","","50.8%",""
"White alone, percent","(a)","91.5%","","86.1%","","89.8%","","71.6%","","50.2%",""
"Black or African American alone, percent","(a)","0.9%","","1.8%","","2.5%","","0.4%","","11.3%",""
"American Indian and Alaska Native alone, percent","(a)","1.9%","","2.5%","","2.3%","","22.4%","","1.1%",""
"Asian alone, percent","(a)","1.7%","","4.8%","","1.7%","","2.0%","","31.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.3%","","0.3%","","0.1%","","1.0%",""
"Two or More Races, percent","","3.8%","","4.5%","","3.4%","","3.6%","","5.3%",""
"Hispanic or Latino, percent","(b)","12.1%","","16.4%","","14.1%","","11.1%","","22.5%",""
"White alone, not Hispanic or Latino, percent","","81.2%","","72.1%","","77.8%","","65.7%","","31.5%",""
"Veterans, 2012-2016","","4,569","","15,757","","4,150","","115","","56,099",""
"Foreign born persons, percent, 2012-2016","","5.9%","","7.8%","","6.1%","","3.1%","","31.7%",""
"Housing units,  July 1, 2017,  (V2017)","","28,429","","99,404","","18,317","","1,771","","606,052",""
"Owner-occupied housing unit rate, 2012-2016","","77.0%","","58.5%","","75.6%","","81.6%","","52.6%",""
"Median value of owner-occupied housing units, 2012-2016","","$259,000","","$228,500","","$265,900","","$329,500","","$593,500",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,735","","$1,477","","$1,648","","$2,271","","$2,582",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$510","","$418","","$486","","$518","","$576",""
"Median gross rent, 2012-2016","","$1,120","","$936","","$1,061","","$1,109","","$1,432",""
"Building permits, 2017","","140","","823","","131","","9","","9,258",""
"Households, 2012-2016","","17,713","","85,505","","14,248","","343","","564,293",""
