"Fact","Fact Note","San Benito County, California","Value Note for San Benito County, California","Sacramento County, California","Value Note for Sacramento County, California","Riverside County, California","Value Note for Riverside County, California","Plumas County, California","Value Note for Plumas County, California","Placer County, California","Value Note for Placer County, California"
"Population estimates, July 1, 2017,  (V2017)","","60,310","","1,530,615","","2,423,266","","18,742","","386,166",""
"Population estimates base, April 1, 2010,  (V2017)","","55,269","","1,418,742","","2,189,753","","20,007","","348,494",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","9.1%","","7.9%","","10.7%","","-6.3%","","10.8%",""
"Population, Census, April 1, 2010","","55,269","","1,418,788","","2,189,641","","20,007","","348,432",""
"Persons under 5 years, percent","","6.4%","","6.5%","","6.6%","","4.3%","","5.4%",""
"Persons under 18 years, percent","","25.7%","","23.8%","","25.4%","","16.8%","","22.3%",""
"Persons 65 years and over, percent","","12.6%","","13.7%","","14.1%","","27.8%","","19.1%",""
"Female persons, percent","","49.9%","","51.1%","","50.2%","","50.1%","","51.2%",""
"White alone, percent","(a)","88.2%","","63.4%","","80.0%","","90.8%","","84.8%",""
"Black or African American alone, percent","(a)","1.4%","","10.9%","","7.2%","","1.1%","","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","3.1%","","1.5%","","1.9%","","3.2%","","1.1%",""
"Asian alone, percent","(a)","3.4%","","16.6%","","7.0%","","1.1%","","7.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%","","1.3%","","0.4%","","0.1%","","0.3%",""
"Two or More Races, percent","","3.4%","","6.2%","","3.5%","","3.6%","","4.3%",""
"Hispanic or Latino, percent","(b)","59.9%","","23.3%","","49.1%","","8.9%","","14.0%",""
"White alone, not Hispanic or Latino, percent","","34.4%","","44.8%","","35.4%","","83.6%","","72.7%",""
"Veterans, 2012-2016","","2,480","","85,177","","128,343","","2,003","","27,830",""
"Foreign born persons, percent, 2012-2016","","19.6%","","20.5%","","21.9%","","4.1%","","10.5%",""
"Housing units,  July 1, 2017,  (V2017)","","18,876","","569,705","","840,207","","15,813","","163,918",""
"Owner-occupied housing unit rate, 2012-2016","","62.2%","","55.2%","","64.5%","","71.2%","","70.1%",""
"Median value of owner-occupied housing units, 2012-2016","","$423,100","","$271,300","","$276,300","","$221,300","","$380,900",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$2,282","","$1,739","","$1,817","","$1,502","","$2,149",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$554","","$472","","$508","","$423","","$586",""
"Median gross rent, 2012-2016","","$1,316","","$1,065","","$1,212","","$846","","$1,339",""
"Building permits, 2017","","571","","4,828","","8,001","","43","","3,287",""
