,County,Registered,Democratic,Republican,Green
0,Alameda,78.45%,56.13%,11.29%,0.78%
1,Alpine,77.10%,40.61%,27.90%,0.83%
2,Amador,80.47%,29.07%,44.35%,0.47%
3,Butte,67.50%,34.57%,35.21%,0.80%
4,Calaveras,79.45%,27.84%,41.63%,0.67%
5,Colusa,67.96%,31.56%,39.63%,0.26%
6,Contra Costa,79.46%,49.14%,20.29%,0.48%
7,Del Norte,76.06%,30.76%,35.61%,0.78%
8,El Dorado,82.71%,28.92%,40.83%,0.57%
9,Fresno,75.10%,38.12%,33.75%,0.32%
10,Glenn,67.03%,28.31%,42.48%,0.25%
11,Humboldt,71.38%,44.17%,23.29%,2.36%
12,Imperial,67.89%,48.00%,18.56%,0.23%
13,Inyo,71.75%,30.41%,40.33%,0.54%
14,Kern,70.60%,33.90%,35.75%,0.26%
15,Kings,63.96%,32.62%,41.44%,0.20%
16,Lake,65.01%,37.95%,26.78%,1.09%
17,Lassen,86.36%,20.38%,48.77%,0.36%
18,Los Angeles,82.73%,50.40%,17.35%,0.42%
19,Madera,61.83%,31.97%,38.93%,0.29%
20,Marin,86.06%,55.64%,15.24%,0.85%
21,Mariposa,71.03%,28.07%,43.15%,0.85%
22,Mendocino,74.60%,47.72%,19.95%,2.19%
23,Merced,58.87%,43.75%,27.93%,0.32%
24,Modoc,69.12%,21.56%,49.92%,0.41%
25,Mono,66.34%,34.76%,31.22%,0.74%
26,Monterey,74.81%,49.70%,20.92%,0.50%
27,Napa,82.09%,45.69%,22.56%,0.76%
28,Nevada,84.99%,36.11%,33.57%,1.17%
29,Orange,74.00%,33.55%,35.62%,0.31%
30,Placer,82.06%,28.27%,42.48%,0.39%
31,Plumas,77.49%,28.47%,42.48%,0.48%
32,Riverside,67.14%,37.53%,33.40%,0.27%
33,Sacramento,73.85%,42.72%,26.29%,0.47%
34,San Benito,86.35%,45.70%,26.36%,0.39%
35,San Bernardino,69.07%,39.36%,29.84%,0.31%
36,San Diego,74.76%,36.19%,28.44%,0.41%
37,San Francisco,72.82%,57.07%,6.84%,0.85%
38,San Joaquin,73.19%,42.01%,29.65%,0.30%
39,San Luis Obispo,79.07%,34.54%,35.81%,0.63%
40,San Mateo,76.31%,50.54%,15.72%,0.49%
41,Santa Barbara,70.34%,42.32%,26.70%,0.53%
42,Santa Clara,71.04%,45.85%,17.74%,0.39%
43,Santa Cruz,80.35%,55.25%,14.44%,1.10%
44,Shasta,73.78%,23.52%,46.41%,0.40%
45,Sierra,82.82%,27.51%,40.18%,0.92%
46,Siskiyou,79.32%,30.36%,38.06%,0.76%
47,Solano,76.34%,46.04%,22.00%,0.38%
48,Sonoma,77.59%,52.14%,18.42%,1.10%
49,Stanislaus,69.55%,37.62%,35.48%,0.28%
50,Sutter,73.36%,30.14%,39.58%,0.24%
51,Tehama,74.00%,25.42%,42.99%,0.30%
52,Trinity,66.68%,31.53%,32.48%,1.27%
53,Tulare,61.50%,31.24%,40.06%,0.28%
54,Tuolumne,76.08%,29.50%,41.53%,0.53%
55,Ventura,79.16%,40.11%,30.15%,0.40%
56,Yolo,72.07%,47.47%,19.97%,0.72%
57,Yuba,67.21%,27.07%,36.40%,0.44%
