,County,"Population estimates base, April 1, 2010,  (V2017)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2012-2016","Housing units,  July 1, 2017,  (V2017)","Median gross rent, 2012-2016","Households, 2012-2016","Persons per household, 2012-2016","Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","High school graduate or higher, percent of persons age 25 years+, 2012-2016","Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","Mean travel time to work (minutes), workers age 16 years+, 2012-2016","Median household income (in 2016 dollars), 2012-2016","Persons in poverty, percent",EV,Registered,Democratic,Republican,Green,City,Median Income
0,Alameda,"1,510,261",5.9%,20.7%,13.5%,50.2%,11.3%,1.1%,31.1%,1.0%,5.3%,22.5%,31.5%,"56,099","606,052","$1,432","564,293",2.79,43.9%,87.3%,43.9%,31.6,"$79,831",10.7%,25246.0,78.45%,56.13%,11.29%,0.78%,262.0,50031.0
1,Alpine,"1,175",3.0%,17.2%,23.2%,71.6%,0.4%,22.4%,2.0%,0.1%,3.6%,11.1%,65.7%,115,"1,771","$1,109",343,3.34,10.2%,91.1%,29.7%,22.4,"$62,375",18.6%,3.0,77.10%,40.61%,27.90%,0.83%,0.0,40869.0
2,Amador,"38,091",4.1%,15.2%,26.6%,89.8%,2.5%,2.3%,1.7%,0.3%,3.4%,14.1%,77.8%,"4,150","18,317","$1,061","14,248",2.31,11.4%,88.3%,21.5%,31.2,"$57,032",11.3%,109.0,80.47%,29.07%,44.35%,0.47%,10.0,39090.0
3,Butte,"220,002",5.5%,20.0%,18.2%,86.1%,1.8%,2.5%,4.8%,0.3%,4.5%,16.4%,72.1%,"15,757","99,404",$936,"85,505",2.55,14.2%,88.3%,26.1%,19.8,"$44,366",19.5%,483.0,67.50%,34.57%,35.21%,0.80%,14.0,32261.0
4,Calaveras,"45,578",4.3%,17.0%,26.9%,91.5%,0.9%,1.9%,1.7%,0.3%,3.8%,12.1%,81.2%,"4,569","28,429","$1,120","17,713",2.5,7.0%,90.4%,20.2%,34.9,"$53,502",13.1%,156.0,79.45%,27.84%,41.63%,0.67%,0.0,38936.0
5,Colusa,"21,419",7.2%,27.5%,14.3%,91.1%,1.4%,2.7%,1.7%,0.6%,2.5%,59.6%,35.0%,952,"8,069",$896,"6,962",3.04,48.1%,68.1%,14.4%,24.6,"$54,946",11.1%,23.0,67.96%,31.56%,39.63%,0.26%,1.0,33799.0
6,Contra Costa,"1,049,200",5.7%,22.8%,15.3%,65.9%,9.5%,1.0%,17.7%,0.6%,5.3%,25.7%,43.8%,"51,446","414,007","$1,506","387,540",2.83,34.5%,89.1%,40.3%,36.2,"$82,881",8.7%,13293.0,79.46%,49.14%,20.29%,0.48%,137.0,50667.0
7,Del Norte,"28,610",5.8%,21.5%,17.7%,78.6%,3.1%,9.4%,3.4%,0.2%,5.3%,19.1%,63.4%,"2,155","11,400",$818,"9,443",2.55,11.9%,82.2%,14.9%,14.3,"$42,363",23.7%,51.0,76.06%,30.76%,35.61%,0.78%,1.0,31817.0
8,El Dorado,"181,058",4.6%,20.0%,20.4%,89.1%,1.0%,1.3%,4.5%,0.2%,3.8%,12.8%,77.9%,"14,603","90,315","$1,105","67,528",2.68,12.9%,92.6%,33.0%,28.8,"$72,586",8.7%,1392.0,82.71%,28.92%,40.83%,0.57%,20.0,48826.0
9,Fresno,"930,495",7.9%,28.5%,12.0%,76.9%,5.8%,3.0%,11.0%,0.3%,3.1%,53.2%,29.5%,"38,494","330,938",$901,"299,456",3.16,44.6%,73.8%,19.7%,22.3,"$45,963",25.5%,3540.0,75.10%,38.12%,33.75%,0.32%,69.0,29843.0
10,Glenn,"28,122",7.2%,26.4%,15.6%,89.3%,1.3%,3.2%,3.1%,0.2%,3.0%,41.9%,51.2%,"1,304","11,024",$750,"9,801",2.82,38.8%,72.5%,12.7%,22.8,"$41,699",16.7%,34.0,67.03%,28.31%,42.48%,0.25%,0.0,31968.0
11,Humboldt,"134,623",5.4%,19.2%,17.2%,83.5%,1.4%,6.3%,2.9%,0.3%,5.6%,11.7%,74.3%,"8,957","63,017",$899,"53,689",2.44,10.9%,90.3%,28.2%,18.2,"$42,685",20.0%,1035.0,71.38%,44.17%,23.29%,2.36%,27.0,31546.0
12,Imperial,"174,528",8.4%,28.6%,12.6%,90.0%,3.4%,2.5%,2.2%,0.2%,1.7%,84.3%,10.6%,"5,818","57,739",$778,"45,800",3.68,75.7%,67.0%,14.0%,20.9,"$42,560",23.6%,195.0,67.89%,48.00%,18.56%,0.23%,1.0,24921.0
13,Inyo,"18,546",5.8%,20.5%,22.8%,80.5%,1.1%,13.2%,1.6%,0.1%,3.5%,22.0%,62.6%,"1,579","9,571",$829,"7,973",2.22,14.2%,88.5%,24.5%,16.5,"$47,278",12.3%,56.0,71.75%,30.41%,40.33%,0.54%,1.0,36861.0
14,Kern,"839,621",7.9%,29.0%,10.7%,82.4%,6.2%,2.6%,5.4%,0.3%,3.1%,53.4%,34.0%,"40,731","297,859",$905,"262,337",3.2,44.0%,73.6%,15.7%,23.5,"$49,788",22.4%,1824.0,70.60%,33.90%,35.75%,0.26%,23.0,30942.0
15,Kings,"152,982",7.7%,27.3%,10.0%,81.3%,7.1%,3.1%,4.5%,0.3%,3.7%,54.8%,32.1%,"9,958","46,398",$889,"41,845",3.18,40.9%,72.9%,12.8%,21.4,"$47,241",17.4%,258.0,63.96%,32.62%,41.44%,0.20%,14.0,30806.0
16,Lake,"64,665",5.7%,20.7%,22.4%,87.4%,2.1%,4.3%,1.4%,0.3%,4.6%,20.6%,70.5%,"5,838","35,948",$882,"26,194",2.41,14.5%,83.7%,16.2%,28.8,"$36,132",20.7%,234.0,65.01%,37.95%,26.78%,1.09%,0.0,29955.0
17,Lassen,"34,895",5.0%,17.2%,14.2%,81.4%,8.3%,4.2%,1.6%,0.8%,3.7%,19.0%,65.5%,"2,596","12,774",$919,"9,501",2.31,17.1%,81.4%,12.5%,21.3,"$51,457",17.6%,17.0,86.36%,20.38%,48.77%,0.36%,2.0,40355.0
18,Los Angeles,"9,818,696",6.1%,21.9%,13.2%,70.9%,9.0%,1.4%,15.3%,0.4%,3.0%,48.6%,26.2%,"292,006","3,542,636","$1,264","3,281,845",3.01,56.7%,77.7%,30.8%,30.4,"$57,952",16.3%,88807.0,82.73%,50.40%,17.35%,0.42%,1097.0,33369.0
19,Madera,"150,843",7.4%,27.4%,13.7%,86.0%,4.2%,4.4%,2.5%,0.3%,2.5%,58.0%,34.0%,"7,903","50,572",$963,"43,574",3.34,45.1%,71.7%,13.1%,25.6,"$45,742",20.4%,352.0,61.83%,31.97%,38.93%,0.29%,9.0,28850.0
20,Marin,"252,419",4.6%,20.1%,21.6%,85.6%,2.8%,1.0%,6.4%,0.3%,3.9%,16.1%,71.7%,"12,956","113,126","$1,764","104,400",2.41,22.9%,93.1%,57.1%,31.0,"$100,310",7.8%,5318.0,86.06%,55.64%,15.24%,0.85%,62.0,63110.0
21,Mariposa,"18,250",4.5%,16.4%,27.0%,89.7%,1.1%,3.3%,1.8%,0.2%,3.9%,11.4%,80.1%,"1,722","10,427",$820,"7,255",2.29,10.4%,89.5%,22.6%,32.6,"$49,265",17.9%,35.0,71.03%,28.07%,43.15%,0.85%,0.0,34208.0
22,Mendocino,"87,840",5.9%,21.6%,21.2%,86.2%,1.1%,6.3%,2.2%,0.2%,4.0%,25.4%,64.9%,"6,594","41,107",$975,"34,594",2.46,20.8%,86.5%,24.1%,19.2,"$43,510",19.0%,651.0,74.60%,47.72%,19.95%,2.19%,15.0,31583.0
