"Fact","Fact Note","Tuolumne County, California","Value Note for Tuolumne County, California","Tulare County, California","Value Note for Tulare County, California","Trinity County, California","Value Note for Trinity County, California","Tehama County, California","Value Note for Tehama County, California","Sutter County, California","Value Note for Sutter County, California"
"Population estimates, July 1, 2017,  (V2017)","","54,248","","464,493","","12,709","","63,926","","96,648",""
"Population estimates base, April 1, 2010,  (V2017)","","55,365","","442,178","","13,780","","63,440","","94,743",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","-2.0%","","5.0%","","-7.8%","","0.8%","","2.0%",""
"Population, Census, April 1, 2010","","55,365","","442,179","","13,786","","63,463","","94,737",""
"Persons under 5 years, percent","","4.4%","","8.2%","","4.2%","","6.5%","","6.9%",""
"Persons under 18 years, percent","","16.7%","","30.9%","","17.0%","","24.0%","","26.0%",""
"Persons 65 years and over, percent","","25.5%","","11.1%","","26.2%","","19.1%","","15.1%",""
"Female persons, percent","","48.1%","","50.0%","","48.5%","","50.4%","","50.2%",""
"White alone, percent","(a)","90.5%","","88.3%","","87.4%","","90.3%","","73.1%",""
"Black or African American alone, percent","(a)","2.0%","","2.2%","","0.7%","","1.0%","","2.6%",""
"American Indian and Alaska Native alone, percent","(a)","2.3%","","2.8%","","5.1%","","3.4%","","2.3%",""
"Asian alone, percent","(a)","1.3%","","4.0%","","1.3%","","1.4%","","17.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.2%","","0.2%","","0.2%","","0.4%",""
"Two or More Races, percent","","3.6%","","2.6%","","5.3%","","3.7%","","4.6%",""
"Hispanic or Latino, percent","(b)","12.5%","","64.7%","","7.3%","","25.2%","","31.0%",""
"White alone, not Hispanic or Latino, percent","","80.0%","","28.6%","","82.3%","","68.0%","","46.0%",""
"Veterans, 2012-2016","","5,059","","15,280","","1,554","","4,777","","6,393",""
"Foreign born persons, percent, 2012-2016","","4.6%","","22.5%","","4.9%","","8.3%","","22.6%",""
"Housing units,  July 1, 2017,  (V2017)","","31,535","","148,994","","8,879","","27,525","","34,401",""
"Owner-occupied housing unit rate, 2012-2016","","67.9%","","56.5%","","67.6%","","66.4%","","57.1%",""
"Median value of owner-occupied housing units, 2012-2016","","$259,800","","$169,600","","$270,100","","$178,600","","$213,100",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,596","","$1,342","","$1,412","","$1,291","","$1,503",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$525","","$361","","$345","","$352","","$453",""
"Median gross rent, 2012-2016","","$936","","$847","","$750","","$781","","$941",""
"Building permits, 2017","","74","","1,314","","52","","115","","78",""
"Households, 2012-2016","","22,083","","134,153","","5,468","","23,573","","32,028",""
"Persons per household, 2012-2016","","2.29","","3.36","","2.35","","2.64","","2.95",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","82.9%","","87.0%","","91.0%","","83.2%","","85.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","6.7%","","51.2%","","10.1%","","19.0%","","38.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","89.8%","","68.2%","","90.7%","","82.9%","","79.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","19.7%","","14.0%","","20.1%","","13.8%","","17.9%",""
"With a disability, under age 65 years, percent, 2012-2016","","14.7%","","8.6%","","15.1%","","15.3%","","8.8%",""
"Persons  without health insurance, under age 65 years, percent","","6.0%","","9.9%","","9.1%","","7.7%","","9.4%",""
