"Fact","Fact Note","Yuba County, California","Value Note for Yuba County, California","Yolo County, California","Value Note for Yolo County, California","Ventura County, California","Value Note for Ventura County, California"
"Population estimates, July 1, 2017,  (V2017)","","77,031","","219,116","","854,223",""
"Population estimates base, April 1, 2010,  (V2017)","","72,146","","200,850","","823,391",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","6.8%","","9.1%","","3.7%",""
"Population, Census, April 1, 2010","","72,155","","200,849","","823,318",""
"Persons under 5 years, percent","","7.8%","","5.7%","","6.0%",""
"Persons under 18 years, percent","","27.4%","","21.1%","","23.2%",""
"Persons 65 years and over, percent","","12.4%","","12.1%","","15.0%",""
"Female persons, percent","","49.4%","","51.4%","","50.5%",""
"White alone, percent","(a)","78.6%","","74.5%","","84.3%",""
"Black or African American alone, percent","(a)","4.3%","","2.9%","","2.3%",""
"American Indian and Alaska Native alone, percent","(a)","2.9%","","1.8%","","1.9%",""
"Asian alone, percent","(a)","7.4%","","14.9%","","7.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.5%","","0.6%","","0.3%",""
"Two or More Races, percent","","6.3%","","5.3%","","3.5%",""
"Hispanic or Latino, percent","(b)","28.3%","","31.8%","","42.9%",""
"White alone, not Hispanic or Latino, percent","","54.9%","","46.6%","","45.2%",""
"Veterans, 2012-2016","","6,311","","8,827","","43,055",""
"Foreign born persons, percent, 2012-2016","","12.1%","","22.2%","","22.8%",""
"Housing units,  July 1, 2017,  (V2017)","","28,606","","77,952","","288,813",""
"Owner-occupied housing unit rate, 2012-2016","","58.3%","","51.3%","","63.4%",""
"Median value of owner-occupied housing units, 2012-2016","","$190,700","","$346,200","","$481,400",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,541","","$1,975","","$2,382",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$396","","$506","","$536",""
"Median gross rent, 2012-2016","","$918","","$1,147","","$1,572",""
"Building permits, 2017","","225","","579","","2,565",""
"Households, 2012-2016","","25,655","","72,544","","269,338",""
"Persons per household, 2012-2016","","2.83","","2.78","","3.09",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","77.8%","","77.0%","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","23.7%","","37.4%","","38.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","82.2%","","85.6%","","83.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","15.5%","","40.0%","","32.2%",""
"With a disability, under age 65 years, percent, 2012-2016","","14.0%","","6.6%","","6.7%",""
"Persons  without health insurance, under age 65 years, percent","","7.1%","","6.7%","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","54.6%","","60.1%","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","48.8%","","56.6%","","59.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","54,774","","656,580","","1,597,442",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","396,851","","846,965","","3,987,634",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","107,200","","2,538,431","","8,333,976",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","6,762,093","","D",""
"Total retail sales, 2012 ($1,000)","(c)","390,218","","1,968,762","","11,194,185",""
"Total retail sales per capita, 2012","(c)","$5,351","","$9,645","","$13,390",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","30.6","","22.4","","26.0",""
"Median household income (in 2016 dollars), 2012-2016","","$48,739","","$57,663","","$78,593",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$21,418","","$28,996","","$34,331",""
"Persons in poverty, percent","","16.6%","","19.0%","","9.8%",""
"Total employer establishments, 2016","","802","","4,076","","20,909",""
"Total employment, 2016","","9,781","","63,111","","256,376",""
"Total annual payroll, 2016 ($1,000)","","404,317","","2,970,680","","13,357,952",""
"Total employment, percent change, 2015-2016","","3.4%","","-0.5%","","-0.2%",""
"Total nonemployer establishments, 2016","","3,535","","13,162","","69,019",""
"All firms, 2012","","3,432","","13,884","","76,285",""
"Men-owned firms, 2012","","1,687","","6,840","","39,995",""
"Women-owned firms, 2012","","1,357","","5,186","","26,682",""
"Minority-owned firms, 2012","","958","","4,258","","25,161",""
"Nonminority-owned firms, 2012","","2,345","","8,826","","48,210",""
"Veteran-owned firms, 2012","","311","","1,078","","5,861",""
"Nonveteran-owned firms, 2012","","2,935","","11,829","","67,137",""
"Population per square mile, 2010","","114.2","","197.9","","446.7",""
"Land area in square miles, 2010","","631.84","","1,014.69","","1,843.13",""
"FIPS Code","","""06115""","","""06113""","","""06111""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"None","","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"NA","Not available","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"X","Not applicable","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
