"Fact","Fact Note","Fresno County, California","Value Note for Fresno County, California","El Dorado County, California","Value Note for El Dorado County, California","Del Norte County, California","Value Note for Del Norte County, California","Contra Costa County, California","Value Note for Contra Costa County, California","Colusa County, California","Value Note for Colusa County, California"
"Population estimates, July 1, 2017,  (V2017)","","989,255","","188,987","","27,470","","1,147,439","","21,805",""
"Population estimates base, April 1, 2010,  (V2017)","","930,495","","181,058","","28,610","","1,049,200","","21,419",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","6.3%","","4.4%","","-4.0%","","9.4%","","1.8%",""
"Population, Census, April 1, 2010","","930,450","","181,058","","28,610","","1,049,025","","21,419",""
"Persons under 5 years, percent","","7.9%","","4.6%","","5.8%","","5.7%","","7.2%",""
"Persons under 18 years, percent","","28.5%","","20.0%","","21.5%","","22.8%","","27.5%",""
"Persons 65 years and over, percent","","12.0%","","20.4%","","17.7%","","15.3%","","14.3%",""
"Female persons, percent","","50.1%","","50.1%","","46.2%","","51.1%","","48.8%",""
"White alone, percent","(a)","76.9%","","89.1%","","78.6%","","65.9%","","91.1%",""
"Black or African American alone, percent","(a)","5.8%","","1.0%","","3.1%","","9.5%","","1.4%",""
"American Indian and Alaska Native alone, percent","(a)","3.0%","","1.3%","","9.4%","","1.0%","","2.7%",""
"Asian alone, percent","(a)","11.0%","","4.5%","","3.4%","","17.7%","","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.2%","","0.2%","","0.6%","","0.6%",""
"Two or More Races, percent","","3.1%","","3.8%","","5.3%","","5.3%","","2.5%",""
"Hispanic or Latino, percent","(b)","53.2%","","12.8%","","19.1%","","25.7%","","59.6%",""
"White alone, not Hispanic or Latino, percent","","29.5%","","77.9%","","63.4%","","43.8%","","35.0%",""
"Veterans, 2012-2016","","38,494","","14,603","","2,155","","51,446","","952",""
"Foreign born persons, percent, 2012-2016","","21.4%","","9.4%","","5.7%","","24.4%","","25.0%",""
"Housing units,  July 1, 2017,  (V2017)","","330,938","","90,315","","11,400","","414,007","","8,069",""
"Owner-occupied housing unit rate, 2012-2016","","52.5%","","75.0%","","60.9%","","64.5%","","64.5%",""
"Median value of owner-occupied housing units, 2012-2016","","$204,900","","$379,200","","$183,600","","$472,900","","$205,000",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,505","","$2,144","","$1,402","","$2,462","","$1,431",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$434","","$583","","$393","","$600","","$406",""
"Median gross rent, 2012-2016","","$901","","$1,105","","$818","","$1,506","","$896",""
"Building permits, 2017","","2,933","","809","","23","","1,984","","17",""
"Households, 2012-2016","","299,456","","67,528","","9,443","","387,540","","6,962",""
"Persons per household, 2012-2016","","3.16","","2.68","","2.55","","2.83","","3.04",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","83.9%","","86.6%","","81.9%","","86.3%","","85.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","44.6%","","12.9%","","11.9%","","34.5%","","48.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","73.8%","","92.6%","","82.2%","","89.1%","","68.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","19.7%","","33.0%","","14.9%","","40.3%","","14.4%",""
"With a disability, under age 65 years, percent, 2012-2016","","8.8%","","8.7%","","16.7%","","7.4%","","9.3%",""
"Persons  without health insurance, under age 65 years, percent","","9.4%","","5.4%","","7.7%","","5.9%","","10.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","60.5%","","59.3%","","44.5%","","64.4%","","62.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","54.6%","","54.5%","","48.2%","","58.1%","","53.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,226,169","","319,784","","32,299","","1,659,988","","97,807",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","5,325,615","","680,939","","121,283","","8,262,635","","41,246",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,658,325","","517,354","","41,171","","33,681,206","","474,519",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","9,266,337","","316,707","","D","","6,887,164","","428,726",""
"Total retail sales, 2012 ($1,000)","(c)","9,117,752","","1,597,758","","192,759","","11,847,866","","127,885",""
"Total retail sales per capita, 2012","(c)","$9,619","","$8,849","","$6,814","","$10,974","","$5,973",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","22.3","","28.8","","14.3","","36.2","","24.6",""
"Median household income (in 2016 dollars), 2012-2016","","$45,963","","$72,586","","$42,363","","$82,881","","$54,946",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$21,057","","$37,089","","$20,282","","$40,792","","$25,745",""
"Persons in poverty, percent","","25.5%","","8.7%","","23.7%","","8.7%","","11.1%",""
"Total employer establishments, 2016","","16,619","","4,439","","401","","23,591","","371",""
"Total employment, 2016","","255,652","","45,023","","4,093","","325,864","","4,041",""
"Total annual payroll, 2016 ($1,000)","","10,692,236","","2,043,028","","132,618","","21,468,960","","161,391",""
"Total employment, percent change, 2015-2016","","2.4%","","4.0%","","-0.7%","","3.3%","","5.6%",""
"Total nonemployer establishments, 2016","","51,942","","16,779","","1,292","","94,711","","1,052",""
"All firms, 2012","","59,569","","16,711","","1,686","","93,083","","1,138",""
"Men-owned firms, 2012","","30,341","","8,514","","727","","47,721","","539",""
"Women-owned firms, 2012","","22,727","","5,445","","578","","34,296","","306",""
"Minority-owned firms, 2012","","30,912","","2,340","","241","","35,831","","397",""
"Nonminority-owned firms, 2012","","26,343","","13,840","","1,367","","53,403","","656",""
"Veteran-owned firms, 2012","","4,556","","1,659","","257","","7,291","","55",""
"Nonveteran-owned firms, 2012","","51,988","","14,367","","1,295","","81,940","","944",""
"Population per square mile, 2010","","156.2","","106.0","","28.4","","1,465.2","","18.6",""
"Land area in square miles, 2010","","5,957.99","","1,707.88","","1,006.37","","715.94","","1,150.73",""
"FIPS Code","","""06019""","","""06017""","","""06015""","","""06013""","","""06011""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
