"Fact","Fact Note","Kern County, California","Value Note for Kern County, California","Inyo County, California","Value Note for Inyo County, California","Imperial County, California","Value Note for Imperial County, California","Humboldt County, California","Value Note for Humboldt County, California","Glenn County, California","Value Note for Glenn County, California"
"Population estimates, July 1, 2017,  (V2017)","","893,119","","18,026","","182,830","","136,754","","28,094",""
"Population estimates base, April 1, 2010,  (V2017)","","839,621","","18,546","","174,528","","134,623","","28,122",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","6.4%","","-2.8%","","4.8%","","1.6%","","-0.1%",""
"Population, Census, April 1, 2010","","839,631","","18,546","","174,528","","134,623","","28,122",""
"Persons under 5 years, percent","","7.9%","","5.8%","","8.4%","","5.4%","","7.2%",""
"Persons under 18 years, percent","","29.0%","","20.5%","","28.6%","","19.2%","","26.4%",""
"Persons 65 years and over, percent","","10.7%","","22.8%","","12.6%","","17.2%","","15.6%",""
"Female persons, percent","","48.7%","","49.6%","","48.7%","","50.2%","","49.3%",""
"White alone, percent","(a)","82.4%","","80.5%","","90.0%","","83.5%","","89.3%",""
"Black or African American alone, percent","(a)","6.2%","","1.1%","","3.4%","","1.4%","","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","2.6%","","13.2%","","2.5%","","6.3%","","3.2%",""
"Asian alone, percent","(a)","5.4%","","1.6%","","2.2%","","2.9%","","3.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.1%","","0.2%","","0.3%","","0.2%",""
"Two or More Races, percent","","3.1%","","3.5%","","1.7%","","5.6%","","3.0%",""
"Hispanic or Latino, percent","(b)","53.4%","","22.0%","","84.3%","","11.7%","","41.9%",""
"White alone, not Hispanic or Latino, percent","","34.0%","","62.6%","","10.6%","","74.3%","","51.2%",""
"Veterans, 2012-2016","","40,731","","1,579","","5,818","","8,957","","1,304",""
"Foreign born persons, percent, 2012-2016","","20.3%","","9.6%","","31.8%","","5.3%","","19.0%",""
"Housing units,  July 1, 2017,  (V2017)","","297,859","","9,571","","57,739","","63,017","","11,024",""
"Owner-occupied housing unit rate, 2012-2016","","56.9%","","65.3%","","55.8%","","55.3%","","57.5%",""
"Median value of owner-occupied housing units, 2012-2016","","$175,600","","$235,500","","$159,000","","$279,000","","$215,800",""
