"Fact","Fact Note","Madera County, California","Value Note for Madera County, California","Los Angeles County, California","Value Note for Los Angeles County, California","Lassen County, California","Value Note for Lassen County, California","Lake County, California","Value Note for Lake County, California","Kings County, California","Value Note for Kings County, California"
"Population estimates, July 1, 2017,  (V2017)","","156,890","","10,163,507","","31,163","","64,246","","150,101",""
"Population estimates base, April 1, 2010,  (V2017)","","150,843","","9,818,696","","34,895","","64,665","","152,982",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","4.0%","","3.5%","","-10.7%","","-0.6%","","-1.9%",""
"Population, Census, April 1, 2010","","150,865","","9,818,605","","34,895","","64,665","","152,982",""
"Persons under 5 years, percent","","7.4%","","6.1%","","5.0%","","5.7%","","7.7%",""
"Persons under 18 years, percent","","27.4%","","21.9%","","17.2%","","20.7%","","27.3%",""
"Persons 65 years and over, percent","","13.7%","","13.2%","","14.2%","","22.4%","","10.0%",""
"Female persons, percent","","51.7%","","50.7%","","37.5%","","50.2%","","45.1%",""
"White alone, percent","(a)","86.0%","","70.9%","","81.4%","","87.4%","","81.3%",""
"Black or African American alone, percent","(a)","4.2%","","9.0%","","8.3%","","2.1%","","7.1%",""
"American Indian and Alaska Native alone, percent","(a)","4.4%","","1.4%","","4.2%","","4.3%","","3.1%",""
"Asian alone, percent","(a)","2.5%","","15.3%","","1.6%","","1.4%","","4.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.4%","","0.8%","","0.3%","","0.3%",""
"Two or More Races, percent","","2.5%","","3.0%","","3.7%","","4.6%","","3.7%",""
"Hispanic or Latino, percent","(b)","58.0%","","48.6%","","19.0%","","20.6%","","54.8%",""
"White alone, not Hispanic or Latino, percent","","34.0%","","26.2%","","65.5%","","70.5%","","32.1%",""
"Veterans, 2012-2016","","7,903","","292,006","","2,596","","5,838","","9,958",""
"Foreign born persons, percent, 2012-2016","","21.5%","","34.5%","","6.0%","","9.0%","","18.4%",""
"Housing units,  July 1, 2017,  (V2017)","","50,572","","3,542,636","","12,774","","35,948","","46,398",""
"Owner-occupied housing unit rate, 2012-2016","","60.7%","","45.7%","","64.6%","","63.2%","","50.1%",""
"Median value of owner-occupied housing units, 2012-2016","","$204,800","","$465,000","","$174,500","","$167,300","","$172,000",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,435","","$2,284","","$1,428","","$1,460","","$1,393",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$429","","$533","","$386","","$413","","$380",""
"Median gross rent, 2012-2016","","$963","","$1,264","","$919","","$882","","$889",""
"Building permits, 2017","","415","","21,574","","12","","159","","272",""
"Households, 2012-2016","","43,574","","3,281,845","","9,501","","26,194","","41,845",""
"Persons per household, 2012-2016","","3.34","","3.01","","2.31","","2.41","","3.18",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","89.5%","","87.9%","","73.9%","","81.0%","","79.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","45.1%","","56.7%","","17.1%","","14.5%","","40.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","71.7%","","77.7%","","81.4%","","83.7%","","72.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","13.1%","","30.8%","","12.5%","","16.2%","","12.8%",""
"With a disability, under age 65 years, percent, 2012-2016","","8.5%","","6.2%","","13.8%","","15.7%","","8.1%",""
