"Fact","Fact Note","Modoc County, California","Value Note for Modoc County, California","Merced County, California","Value Note for Merced County, California","Mendocino County, California","Value Note for Mendocino County, California","Mariposa County, California","Value Note for Mariposa County, California","Marin County, California","Value Note for Marin County, California"
"Population estimates, July 1, 2017,  (V2017)","","8,859","","272,673","","88,018","","17,569","","260,955",""
"Population estimates base, April 1, 2010,  (V2017)","","9,686","","255,798","","87,840","","18,250","","252,419",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","-8.5%","","6.6%","","0.2%","","-3.7%","","3.4%",""
"Population, Census, April 1, 2010","","9,686","","255,793","","87,841","","18,251","","252,409",""
"Persons under 5 years, percent","","4.5%","","7.8%","","5.9%","","4.5%","","4.6%",""
"Persons under 18 years, percent","","18.9%","","29.6%","","21.6%","","16.4%","","20.1%",""
"Persons 65 years and over, percent","","26.5%","","11.1%","","21.2%","","27.0%","","21.6%",""
"Female persons, percent","","50.0%","","49.5%","","50.3%","","48.9%","","51.1%",""
"White alone, percent","(a)","88.9%","","82.0%","","86.2%","","89.7%","","85.6%",""
"Black or African American alone, percent","(a)","1.3%","","3.9%","","1.1%","","1.1%","","2.8%",""
"American Indian and Alaska Native alone, percent","(a)","4.9%","","2.5%","","6.3%","","3.3%","","1.0%",""
"Asian alone, percent","(a)","1.2%","","8.0%","","2.2%","","1.8%","","6.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.4%","","0.2%","","0.2%","","0.3%",""
"Two or More Races, percent","","3.4%","","3.1%","","4.0%","","3.9%","","3.9%",""
"Hispanic or Latino, percent","(b)","14.6%","","59.6%","","25.4%","","11.4%","","16.1%",""
"White alone, not Hispanic or Latino, percent","","77.9%","","27.7%","","64.9%","","80.1%","","71.7%",""
"Veterans, 2012-2016","","706","","10,492","","6,594","","1,722","","12,956",""
"Foreign born persons, percent, 2012-2016","","6.3%","","25.4%","","12.6%","","7.0%","","18.4%",""
"Housing units,  July 1, 2017,  (V2017)","","5,277","","85,266","","41,107","","10,427","","113,126",""
"Owner-occupied housing unit rate, 2012-2016","","74.7%","","52.2%","","57.1%","","69.6%","","63.4%",""
"Median value of owner-occupied housing units, 2012-2016","","$144,600","","$171,800","","$319,100","","$250,800","","$859,400",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$962","","$1,363","","$1,718","","$1,605","","$3,290",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$341","","$390","","$448","","$396","","$758",""
"Median gross rent, 2012-2016","","$681","","$882","","$975","","$820","","$1,764",""
"Building permits, 2017","","5","","550","","192","","45","","94",""
"Households, 2012-2016","","3,670","","78,270","","34,594","","7,255","","104,400",""
"Persons per household, 2012-2016","","2.32","","3.31","","2.46","","2.29","","2.41",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","89.2%","","83.5%","","84.2%","","89.2%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","12.1%","","52.5%","","20.8%","","10.4%","","22.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","86.4%","","68.6%","","86.5%","","89.5%","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","18.3%","","13.7%","","24.1%","","22.6%","","57.1%",""
"With a disability, under age 65 years, percent, 2012-2016","","12.5%","","11.8%","","11.8%","","11.7%","","5.1%",""
"Persons  without health insurance, under age 65 years, percent","","9.9%","","8.4%","","9.9%","","7.8%","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","50.6%","","59.4%","","58.5%","","52.7%","","64.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","54.2%","","52.0%","","54.0%","","50.9%","","59.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","8,304","","232,910","","182,602","","157,933","","729,652",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","33,918","","788,114","","427,217","","D","","2,102,255",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","4,435,633","","453,444","","D","","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D","","2,260,180","","407,625","","18,908","","1,864,552",""
"Total retail sales, 2012 ($1,000)","(c)","45,741","","1,959,473","","1,095,233","","102,452","","5,087,526",""
"Total retail sales per capita, 2012","(c)","$4,904","","$7,470","","$12,527","","$5,722","","$19,868",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","16.4","","26.6","","19.2","","32.6","","31.0",""
"Median household income (in 2016 dollars), 2012-2016","","$41,194","","$44,397","","$43,510","","$49,265","","$100,310",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$21,899","","$19,130","","$25,278","","$27,832","","$63,608",""
"Persons in poverty, percent","","18.4%","","20.3%","","19.0%","","17.9%","","7.8%",""
"Total employer establishments, 2016","","150","","3,041","","2,439","","296","","9,963",""
"Total employment, 2016","","1,206","","43,152","","23,414","","3,220","","100,530",""
"Total annual payroll, 2016 ($1,000)","","45,276","","1,702,476","","863,692","","84,256","","6,555,178",""
"Total employment, percent change, 2015-2016","","-0.2%","","2.7%","","2.8%","","4.7%","","Z",""
"Total nonemployer establishments, 2016","","549","","11,008","","8,481","","1,359","","37,856",""
"All firms, 2012","","427","","12,848","","9,569","","1,529","","39,815",""
"Men-owned firms, 2012","","162","","7,163","","4,763","","733","","19,795",""
"Women-owned firms, 2012","","194","","4,071","","3,226","","586","","15,500",""
"Minority-owned firms, 2012","","55","","6,912","","1,518","","189","","5,813",""
"Nonminority-owned firms, 2012","","350","","5,448","","7,528","","1,246","","32,232",""
"Veteran-owned firms, 2012","","40","","1,060","","762","","162","","3,304",""
"Nonveteran-owned firms, 2012","","347","","11,149","","8,242","","1,285","","34,571",""
"Population per square mile, 2010","","2.5","","132.2","","25.1","","12.6","","485.1",""
"Land area in square miles, 2010","","3,917.77","","1,934.97","","3,506.34","","1,448.82","","520.31",""
"FIPS Code","","""06049""","","""06047""","","""06045""","","""06043""","","""06041""",""
"","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Notes","","","","","","","","","","",""
"None","","","","","","","","","","",""
"","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","",""
"","","","","","","","","","","",""
"Value Flags","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","",""
"NA","Not available","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","",""
"X","Not applicable","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","",""
