"Fact","Fact Note","Orange County, California","Value Note for Orange County, California","Nevada County, California","Value Note for Nevada County, California","Napa County, California","Value Note for Napa County, California","Monterey County, California","Value Note for Monterey County, California","Mono County, California","Value Note for Mono County, California"
"Population estimates, July 1, 2017,  (V2017)","","3,190,400","","99,814","","140,973","","437,907","","14,168",""
"Population estimates base, April 1, 2010,  (V2017)","","3,010,265","","98,748","","136,530","","415,052","","14,202",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","6.0%","","1.1%","","3.3%","","5.5%","","-0.2%",""
"Population, Census, April 1, 2010","","3,010,232","","98,764","","136,484","","415,057","","14,202",""
"Persons under 5 years, percent","","5.9%","","4.4%","","5.2%","","7.3%","","5.1%",""
"Persons under 18 years, percent","","22.1%","","17.3%","","21.0%","","26.2%","","18.6%",""
"Persons 65 years and over, percent","","14.3%","","26.5%","","18.4%","","13.2%","","15.1%",""
"Female persons, percent","","50.6%","","50.9%","","50.2%","","49.1%","","47.2%",""
"White alone, percent","(a)","72.0%","","93.5%","","84.0%","","82.6%","","91.1%",""
"Black or African American alone, percent","(a)","2.1%","","0.6%","","2.4%","","3.5%","","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","1.2%","","1.2%","","2.6%","","3.0%",""
"Asian alone, percent","(a)","21.0%","","1.4%","","8.7%","","6.8%","","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%","","0.2%","","0.4%","","0.6%","","0.4%",""
"Two or More Races, percent","","3.5%","","3.1%","","3.2%","","3.8%","","2.7%",""
"Hispanic or Latino, percent","(b)","34.2%","","9.5%","","34.3%","","58.8%","","27.5%",""
"White alone, not Hispanic or Latino, percent","","40.5%","","85.2%","","52.4%","","29.8%","","65.5%",""
"Veterans, 2012-2016","","120,558","","8,731","","8,284","","18,582","","825",""
"Foreign born persons, percent, 2012-2016","","30.4%","","6.3%","","22.8%","","30.0%","","17.0%",""
"Housing units,  July 1, 2017,  (V2017)","","1,102,116","","53,860","","55,847","","141,635","","14,115",""
"Owner-occupied housing unit rate, 2012-2016","","57.2%","","72.1%","","61.6%","","49.7%","","55.2%",""
