"Fact","Fact Note","Shasta County, California","Value Note for Shasta County, California","Santa Cruz city, California","Value Note for Santa Cruz city, California","Santa Clara County, California","Value Note for Santa Clara County, California","Santa Barbara County, California","Value Note for Santa Barbara County, California","San Mateo County, California","Value Note for San Mateo County, California"
"Population estimates, July 1, 2017,  (V2017)","","179,921","","65,021","","1,938,153","","448,150","","771,410",""
"Population estimates base, April 1, 2010,  (V2017)","","177,223","","59,945","","1,781,671","","423,949","","718,500",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","1.5%","","8.5%","","8.8%","","5.7%","","7.4%",""
"Population, Census, April 1, 2010","","177,223","","59,946","","1,781,642","","423,895","","718,451",""
"Persons under 5 years, percent","","5.9%","","3.5%","","6.1%","","6.3%","","5.7%",""
"Persons under 18 years, percent","","21.5%","","13.2%","","22.2%","","22.2%","","20.8%",""
"Persons 65 years and over, percent","","20.3%","","10.5%","","13.1%","","14.9%","","15.8%",""
"Female persons, percent","","50.9%","","50.9%","","49.5%","","49.9%","","50.7%",""
"White alone, percent","(a)","88.0%","","78.3%","","53.8%","","85.5%","","60.6%",""
"Black or African American alone, percent","(a)","1.1%","","1.3%","","2.8%","","2.4%","","2.8%",""
"American Indian and Alaska Native alone, percent","(a)","3.1%","","0.6%","","1.2%","","2.2%","","0.8%",""
"Asian alone, percent","(a)","3.1%","","9.2%","","37.5%","","6.0%","","29.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.1%","","0.5%","","0.2%","","1.5%",""
"Two or More Races, percent","","4.4%","","5.8%","","4.1%","","3.7%","","4.6%",""
"Hispanic or Latino, percent","(b)","10.1%","","20.4%","","25.6%","","45.6%","","24.5%",""
"White alone, not Hispanic or Latino, percent","","79.8%","","64.8%","","31.6%","","44.3%","","39.3%",""
"Veterans, 2012-2016","","16,147","","2,154","","58,015","","23,513","","27,587",""
"Foreign born persons, percent, 2012-2016","","4.8%","","13.6%","","38.1%","","23.0%","","34.5%",""
"Housing units,  July 1, 2017,  (V2017)","","78,847","","X","","671,125","","157,039","","278,074",""
"Owner-occupied housing unit rate, 2012-2016","","62.1%","","43.8%","","56.5%","","52.0%","","59.1%",""
