"Total Estimated and Projected Population for California and Counties: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimates,,,,,,,,Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
California,"37,335,085","37,675,500","38,042,760","38,373,749","38,739,792","39,059,415","39,312,207","39,613,019","39,952,483","40,295,352","40,639,392","40,980,939","41,321,565","41,659,526","41,994,283","42,326,397","42,655,695","42,981,484","43,304,691","43,624,393","43,939,250","44,250,503","44,556,617","44,856,079","45,150,800","45,440,735","45,726,459","46,006,009","46,277,743","46,544,307","46,804,202","47,056,631","47,303,447","47,544,426","47,778,649","48,007,817","48,230,450","48,449,179","48,663,583","48,872,567","49,077,801","49,278,229","49,473,225","49,664,564","49,855,335","50,044,172","50,229,888","50,416,346","50,602,446","50,789,873","50,975,904"
Alameda County,"1,515,354","1,532,186","1,554,698","1,576,023","1,600,366","1,621,005","1,637,176","1,650,818","1,668,399","1,686,072","1,703,660","1,721,450","1,738,893","1,756,373","1,773,448","1,790,456","1,807,014","1,823,749","1,840,472","1,857,369","1,873,622","1,889,829","1,906,151","1,922,119","1,937,920","1,953,455","1,968,698","1,983,851","1,998,534","2,012,960","2,027,328","2,041,375","2,054,950","2,068,411","2,081,903","2,094,635","2,106,923","2,119,435","2,131,801","2,143,309","2,154,848","2,166,190","2,177,042","2,188,130","2,198,748","2,209,037","2,219,398","2,230,152","2,240,525","2,250,886","2,260,737"
Alpine County,"1,175","1,169","1,162","1,159","1,155","1,150","1,128","1,115","1,108","1,104","1,107","1,108","1,109","1,110","1,103","1,106","1,119","1,124","1,116","1,129","1,134","1,138","1,144","1,148","1,147","1,150","1,158","1,162","1,157","1,157","1,145","1,143","1,128","1,120","1,118","1,113","1,104","1,104","1,096","1,088","1,085","1,083","1,076","1,075","1,070","1,062","1,044","1,041","1,039","1,035","1,031"
Amador County,"38,069","37,894","37,746","37,582","37,448","37,313","37,181","37,050","37,184","37,350","37,560","37,795","38,032","38,268","38,514","38,760","39,000","39,231","39,482","39,708","39,917","40,134","40,327","40,520","40,699","40,866","41,012","41,162","41,287","41,399","41,502","41,584","41,673","41,772","41,869","41,980","42,074","42,170","42,279","42,383","42,494","42,609","42,747","42,884","43,030","43,174","43,332","43,497","43,679","43,850","44,028"
Butte County,"220,193","220,563","221,708","222,083","223,727","224,180","224,761","226,470","227,804","229,295","230,701","232,147","233,693","235,258","236,896","238,538","240,370","242,106","243,806","245,534","247,331","249,017","250,810","252,597","254,347","256,034","257,714","259,253","260,770","262,233","263,634","265,047","266,440","267,828","269,199","270,604","272,010","273,315","274,691","276,138","277,504","279,101","280,593","282,036","283,761","285,282","286,701","288,214","289,915","291,356","292,884"
Calaveras County,"45,535","45,414","45,305","45,116","45,010","44,899","44,747","44,609","44,692","44,808","44,953","45,126","45,308","45,507","45,721","45,934","46,142","46,349","46,557","46,741","46,920","47,091","47,246","47,393","47,523","47,642","47,725","47,816","47,896","47,969","48,033","48,093","48,135","48,177","48,215","48,256","48,306","48,356","48,422","48,480","48,566","48,658","48,766","48,891","49,035","49,188","49,370","49,553","49,766","50,015","50,259"
Colusa County,"21,465","21,626","21,781","21,972","22,139","22,271","22,428","22,580","22,768","22,958","23,144","23,326","23,507","23,686","23,871","24,053","24,233","24,414","24,595","24,772","24,948","25,102","25,263","25,422","25,585","25,733","25,896","26,037","26,175","26,294","26,419","26,536","26,642","26,747","26,848","26,957","27,051","27,150","27,250","27,351","27,450","27,546","27,652","27,762","27,872","27,981","28,099","28,216","28,339","28,467","28,594"
Contra Costa County,"1,051,669","1,063,888","1,075,825","1,089,906","1,103,248","1,117,459","1,129,332","1,138,039","1,151,442","1,165,190","1,178,639","1,192,214","1,205,638","1,218,811","1,232,102","1,245,480","1,258,417","1,271,230","1,284,093","1,296,631","1,309,118","1,321,358","1,333,462","1,345,211","1,356,946","1,368,495","1,379,422","1,390,430","1,400,823","1,410,792","1,420,595","1,429,658","1,438,744","1,447,481","1,455,762","1,463,803","1,471,450","1,479,278","1,486,583","1,493,748","1,500,541","1,506,843","1,513,077","1,519,249","1,525,706","1,531,974","1,538,454","1,544,609","1,550,933","1,557,197","1,563,465"
Del Norte County,"28,389","28,214","27,998","27,544","27,210","27,080","26,956","26,858","26,901","26,950","26,997","27,051","27,105","27,153","27,207","27,262","27,314","27,377","27,450","27,519","27,570","27,627","27,681","27,743","27,800","27,857","27,905","27,960","28,011","28,051","28,104","28,145","28,199","28,240","28,289","28,348","28,392","28,434","28,479","28,517","28,568","28,615","28,676","28,738","28,808","28,877","28,945","29,030","29,126","29,234","29,345"
