County,Registered Vehicles (thousands),Unemployment Rate (percent),Households (thousands)
Alameda,1630,4.1,630.3
Alpine,3.7,7,0.5
Amador,62,5.7,15.2
Butte,256.5,6.1,97.4
Calaveras,81,5.6,20.5
Colusa,34.1,15.1,8.1
Contra Costa,1180,3.9,439.2
Del Norte,28.4,6.7,10
El Dorado,254,4.5,77.6
Fresno,893,8.4,344.6
Glenn,42.4,7.5,10.8
Humboldt,166.8,5.2,58.6
Imperial,231.7,19.7,55.8
Inyo,29.4,5,8.2
Kern,845,8.9,293.1
Kings,133.8,9.9,49.5
Lake,93.6,6.4,29.8
Lassen,37.7,6.6,10
Los Angeles,8900,4.4,3544.2
Madera,169,8.4,52
Marin,260,2.7,106.2
Mariposa,29.6,7.1,8.4
Mendocino,148.7,5.1,34.2
Merced,277,9.6,89.7
Modoc,13.7,7.8,4.1
Mono,20,5.5,6.14
Monterey,445,7.9,134
Napa,163,3.5,54.7
Nevada,150.5,4.8,43.6
Orange,3130,3.9,1118.6
Placer,478,4.1,163.9
Plumas,31.8,9.3,8.7
Riverside,2250,5.3,809.8
Sacramento,1480,4.8,582.8
San Benito,75.9,6.9,21.5
San Bernardino,1.96,5.2,696.1
San Diego,3280,4.3,1233.6
San Francisco,530,3.5,385.9
San Joaquin,776,7,265.1
San Luis Obispo,347,4.2,114.3
San Mateo,810,2.8,283.1
Santa Barbara,443.7,5.1,157
Santa Clara,1900,4.2,681.1
Santa Cruz,266.8,5.6,102.1
Shasta,239.5,6.5,74.2
Sierra,6.6,7.5,1.5
Siskiyou,69,8.3,19.9
Solano,520,4.8,164.3
Sonoma,643,2.6,203.8
Stanislaus,559,7.4,184
Sutter,120.1,9.1,36.1
Tehama,81.1,6.1,25.7
Trinity,23.3,7.1,6
Tulare,456,9.8,156.8
Tuolumne,73.8,6,22.7
Ventura,878,4.4,288.9
Yolo,210,5.4,81.7
Yuba,81.4,8,28.8
