County,Registered Vehicles (thousands),Unemployment Rate (percent),Households (thousands),Real Per Capita Income (dollars)
Alameda,1630,4.1,630.3,79166
Alpine,3.7,7,0.5,100030
Amador,62,5.7,15.2,53363
Butte,256.5,6.1,97.4,51257
Calaveras,81,5.6,20.5,57843
Colusa,34.1,15.1,8.1,53576
Contra Costa,1180,3.9,439.2,83311
Del Norte,28.4,6.7,10,41056
El Dorado,254,4.5,77.6,73184
Fresno,893,8.4,344.6,47259
Glenn,42.4,7.5,10.8,45616
Humboldt,166.8,5.2,58.6,52106
Imperial,231.7,19.7,55.8,38331
Inyo,29.4,5,8.2,61439
Kern,845,8.9,293.1,45270
Kings,133.8,9.9,49.5,39743
Lake,93.6,6.4,29.8,46402
Lassen,37.7,6.6,10,44068
Los Angeles,8900,4.4,3544.2,68722
Madera,169,8.4,52,43871
Marin,260,2.7,106.2,141165
Mariposa,29.6,7.1,8.4,54707
Mendocino,148.7,5.1,34.2,56411
Merced,277,9.6,89.7,41302
Modoc,13.7,7.8,4.1,49336
Mono,20,5.5,6.14,58254
Monterey,445,7.9,134,58094
Napa,163,3.5,54.7,82856
Nevada,150.5,4.8,43.6,68774
Orange,3130,3.9,1118.6,80790
Placer,478,4.1,163.9,69720
Plumas,31.8,9.3,8.7,57646
Riverside,2250,5.3,809.8,44159
Sacramento,1480,4.8,582.8,62367
San Benito,75.9,6.9,21.5,51330
San Bernardino,1.96,5.2,696.1,43185
San Diego,3280,4.3,1233.6,70645
San Francisco,530,3.5,385.9,158914
San Joaquin,776,7,265.1,47081
San Luis Obispo,347,4.2,114.3,67809
San Mateo,810,2.8,283.1,140906
Santa Barbara,443.7,5.1,157,70131
Santa Clara,1900,4.2,681.1,123250
Santa Cruz,266.8,5.6,102.1,70794
Shasta,239.5,6.5,74.2,54175
Sierra,6.6,7.5,1.5,46548
Siskiyou,69,8.3,19.9,48665
Solano,520,4.8,164.3,51802
Sonoma,643,2.6,203.8,67084
Stanislaus,559,7.4,184,50222
Sutter,120.1,9.1,36.1,47347
Tehama,81.1,6.1,25.7,44869
Trinity,23.3,7.1,6,40738
Tulare,456,9.8,156.8,44460
Tuolumne,73.8,6,22.7,53987
Ventura,878,4.4,288.9,67083
Yolo,210,5.4,81.7,61092
Yuba,81.4,8,28.8,45717
